title,icon,installs,reviews,size,content_rating,free,price,iap,android_version,len_title,main_category,category,iap_min,iap_max,updateDays,rating_class,rating
"Art Camera -Cartoon,Pencil Sketch Art Effect Photo",https://lh3.googleusercontent.com/YQGIgg4wt3rTwHATUR4ty37vyLGhsgsjeHitSktT56hLTXVqpWVmkVunLU_4kAs2FxA,100000,1216,25.0,1,1,0.0,0,1,50,0,ART_AND_DESIGN,0.0,0.0,-21,1,4.6
ibis Paint X,https://lh3.googleusercontent.com/QcfhlXm32JDnj3WM2-TSL78ad99x4slovX4OzCSLSPU3uRN-mGXpKyM_yeXiewhz0Lk,10000000,532278,55.0,1,1,0.0,1,1,12,0,ART_AND_DESIGN,2.99,6.99,-11,1,4.4
Mandala Coloring Book,https://lh3.googleusercontent.com/E-BBdp8ZAM4HM_eyFgS6sLAFJE2dZRxHvk_BHeZ7eEcr8GxHmVOKwMS6DBlu3Tlfzs6v,100000,1592,37.0,1,1,0.0,0,1,21,0,ART_AND_DESIGN,0.0,0.0,-93,0,4.3
Glitter Number and letters coloring Book for kids,https://lh3.googleusercontent.com/cQgdyLnoztbIk5YFeNYoDQgsdPadtzYkhpuaCWEli906GPzlxzrVbMDjuafcU4yFKwlM,500000,238,21.0,1,1,0.0,0,1,49,0,ART_AND_DESIGN,0.0,0.0,-3,0,3.8
Diy school supplies step by step,https://lh3.googleusercontent.com/WUiPIksXw9l2SQ-TzqAzipVdUFkwBGjQRzV-KgJRvrisrGR8D6ZGRFoEhDkvq8NjaTQ,50000,390,15.0,1,1,0.0,0,1,32,0,ART_AND_DESIGN,0.0,0.0,-13,1,4.7
Glitter dress coloring and drawing book for Kids,https://lh3.googleusercontent.com/HdyuQI-MCnY_TegAFIV-0wsWC3yzewVbf7KMzNkO4TaikEUU3DYC5wukChh2GtKyl9Y,100000,197,23.0,1,1,0.0,0,1,48,0,ART_AND_DESIGN,0.0,0.0,-57,0,4.3
Football Wallpapers | Football Backgrounds,https://lh3.googleusercontent.com/03YswaUldkH-YfHnHNrmWuZOoR2yMHOrRgV1NWUAPyUjnBVHv3ZtExlorVAa_nw6jlDS,10000,423,5.3,1,1,0.0,0,1,42,0,ART_AND_DESIGN,0.0,0.0,-86,1,4.9
Floor Plan Creator,https://lh3.googleusercontent.com/yb3PWja0A2u17AZ_erTWro3ehAisqooJwHPo7z2aHnsp235dcGOKpNNcX-mDhO1Nlu-4,10000000,50892,21.345454545454547,1,1,0.0,1,1,18,0,ART_AND_DESIGN,0.99,6.99,-7,0,4.1
Superheroes Wallpaper HD 2K 4K 2019,https://lh3.googleusercontent.com/ozok70WpPcXk4D0CcjP6HJe1nV5973gpFhpa6zKtUHrqp9WcXCOKDAQm5ag-3Gwgt86R,500000,3628,9.3,1,1,0.0,0,1,35,0,ART_AND_DESIGN,0.0,0.0,-168,0,4.2
MediBang Paint - Make Art !,https://lh3.googleusercontent.com/gJiINYcgwxuyz7D74B_yIGoblTCDdhLPmh1JMUiw-cUGZ4D7aj0bUWywBsMNltCQzX4,10000000,182927,23.0,1,1,0.0,1,1,27,0,ART_AND_DESIGN,0.99,99.99,-78,0,4.1
Scriptum AR Escape Room,https://lh3.googleusercontent.com/liACnGA-ovWTzwRbPdjeCXYXV2x-kp2bAJ9eBOtuNwE1h7AZc8swuKU3WjRBDe1281w,5000,23,84.0,1,1,0.0,1,1,23,13,GAME,0.99,99.99,-14,0,4.1
JFK Moonshot: An Augmented Reality Experience,https://lh3.googleusercontent.com/p-d_DckD-fg9gCUfVZGFjVyH94KbX30u-FkngfCr94pGfKQXPLS7ex8Il5QhwEKz1g,10000,126,43.0,1,1,0.0,0,2,45,9,ENTERTAINMENT,0.0,0.0,-127,0,4.3
